Fecha;Semáforo;Código Comuna 2017;Código Provincia;Código Región;etiqueta_positividad;Nombre Comuna;Nombre Provincia;region_residencia;Región;codigo_region;positividad
2/3/2020;Rojo;02302;023;02;Positividad;María Elena;Tocopilla;Región de Antofagasta;Antofagasta;2;
2/3/2020;Rojo;02301;023;02;Positividad;Tocopilla;Tocopilla;Región de Antofagasta;Antofagasta;2;
2/3/2020;Rojo;02203;022;02;Positividad;San Pedro de Atacama;El Loa;Región de Antofagasta;Antofagasta;2;
2/3/2020;Rojo;02202;022;02;Positividad;Ollagüe;El Loa;Región de Antofagasta;Antofagasta;2;
2/3/2020;Rojo;02201;022;02;Positividad;Calama;El Loa;Región de Antofagasta;Antofagasta;2;
2/3/2020;Rojo;02104;021;02;Positividad;Taltal;Antofagasta;Región de Antofagasta;Antofagasta;2;
2/3/2020;Rojo;02103;021;02;Positividad;Sierra Gorda;Antofagasta;Región de Antofagasta;Antofagasta;2;
2/3/2020;Rojo;02102;021;02;Positividad;Mejillones;Antofagasta;Región de Antofagasta;Antofagasta;2;
2/3/2020;Rojo;02101;021;02;Positividad;Antofagasta;Antofagasta;Región de Antofagasta;Antofagasta;2;
3/3/2020;Rojo;02302;023;02;Positividad;María Elena;Tocopilla;Región de Antofagasta;Antofagasta;2;
3/3/2020;Rojo;02301;023;02;Positividad;Tocopilla;Tocopilla;Región de Antofagasta;Antofagasta;2;
3/3/2020;Rojo;02203;022;02;Positividad;San Pedro de Atacama;El Loa;Región de Antofagasta;Antofagasta;2;
3/3/2020;Rojo;02202;022;02;Positividad;Ollagüe;El Loa;Región de Antofagasta;Antofagasta;2;
3/3/2020;Rojo;02201;022;02;Positividad;Calama;El Loa;Región de Antofagasta;Antofagasta;2;
3/3/2020;Rojo;02104;021;02;Positividad;Taltal;Antofagasta;Región de Antofagasta;Antofagasta;2;
3/3/2020;Rojo;02103;021;02;Positividad;Sierra Gorda;Antofagasta;Región de Antofagasta;Antofagasta;2;
3/3/2020;Rojo;02102;021;02;Positividad;Mejillones;Antofagasta;Región de Antofagasta;Antofagasta;2;
3/3/2020;Rojo;02101;021;02;Positividad;Antofagasta;Antofagasta;Región de Antofagasta;Antofagasta;2;
4/3/2020;Rojo;02302;023;02;Positividad;María Elena;Tocopilla;Región de Antofagasta;Antofagasta;2;
4/3/2020;Rojo;02301;023;02;Positividad;Tocopilla;Tocopilla;Región de Antofagasta;Antofagasta;2;
4/3/2020;Rojo;02203;022;02;Positividad;San Pedro de Atacama;El Loa;Región de Antofagasta;Antofagasta;2;
4/3/2020;Rojo;02202;022;02;Positividad;Ollagüe;El Loa;Región de Antofagasta;Antofagasta;2;
4/3/2020;Rojo;02201;022;02;Positividad;Calama;El Loa;Región de Antofagasta;Antofagasta;2;
4/3/2020;Rojo;02104;021;02;Positividad;Taltal;Antofagasta;Región de Antofagasta;Antofagasta;2;
4/3/2020;Rojo;02103;021;02;Positividad;Sierra Gorda;Antofagasta;Región de Antofagasta;Antofagasta;2;
4/3/2020;Rojo;02102;021;02;Positividad;Mejillones;Antofagasta;Región de Antofagasta;Antofagasta;2;
4/3/2020;Rojo;02101;021;02;Positividad;Antofagasta;Antofagasta;Región de Antofagasta;Antofagasta;2;
5/3/2020;Rojo;02302;023;02;Positividad;María Elena;Tocopilla;Región de Antofagasta;Antofagasta;2;
5/3/2020;Rojo;02301;023;02;Positividad;Tocopilla;Tocopilla;Región de Antofagasta;Antofagasta;2;
5/3/2020;Rojo;02203;022;02;Positividad;San Pedro de Atacama;El Loa;Región de Antofagasta;Antofagasta;2;
5/3/2020;Rojo;02202;022;02;Positividad;Ollagüe;El Loa;Región de Antofagasta;Antofagasta;2;
5/3/2020;Rojo;02201;022;02;Positividad;Calama;El Loa;Región de Antofagasta;Antofagasta;2;
5/3/2020;Rojo;02104;021;02;Positividad;Taltal;Antofagasta;Región de Antofagasta;Antofagasta;2;
5/3/2020;Rojo;02103;021;02;Positividad;Sierra Gorda;Antofagasta;Región de Antofagasta;Antofagasta;2;
5/3/2020;Rojo;02102;021;02;Positividad;Mejillones;Antofagasta;Región de Antofagasta;Antofagasta;2;
5/3/2020;Rojo;02101;021;02;Positividad;Antofagasta;Antofagasta;Región de Antofagasta;Antofagasta;2;
6/3/2020;Rojo;02302;023;02;Positividad;María Elena;Tocopilla;Región de Antofagasta;Antofagasta;2;
6/3/2020;Rojo;02301;023;02;Positividad;Tocopilla;Tocopilla;Región de Antofagasta;Antofagasta;2;
6/3/2020;Rojo;02203;022;02;Positividad;San Pedro de Atacama;El Loa;Región de Antofagasta;Antofagasta;2;
6/3/2020;Rojo;02202;022;02;Positividad;Ollagüe;El Loa;Región de Antofagasta;Antofagasta;2;
6/3/2020;Rojo;02201;022;02;Positividad;Calama;El Loa;Región de Antofagasta;Antofagasta;2;
6/3/2020;Rojo;02104;021;02;Positividad;Taltal;Antofagasta;Región de Antofagasta;Antofagasta;2;
6/3/2020;Rojo;02103;021;02;Positividad;Sierra Gorda;Antofagasta;Región de Antofagasta;Antofagasta;2;
6/3/2020;Rojo;02102;021;02;Positividad;Mejillones;Antofagasta;Región de Antofagasta;Antofagasta;2;
6/3/2020;Rojo;02101;021;02;Positividad;Antofagasta;Antofagasta;Región de Antofagasta;Antofagasta;2;
7/3/2020;Rojo;02302;023;02;Positividad;María Elena;Tocopilla;Región de Antofagasta;Antofagasta;2;
7/3/2020;Rojo;02301;023;02;Positividad;Tocopilla;Tocopilla;Región de Antofagasta;Antofagasta;2;
7/3/2020;Rojo;02203;022;02;Positividad;San Pedro de Atacama;El Loa;Región de Antofagasta;Antofagasta;2;
7/3/2020;Rojo;02202;022;02;Positividad;Ollagüe;El Loa;Región de Antofagasta;Antofagasta;2;
7/3/2020;Rojo;02201;022;02;Positividad;Calama;El Loa;Región de Antofagasta;Antofagasta;2;
7/3/2020;Rojo;02104;021;02;Positividad;Taltal;Antofagasta;Región de Antofagasta;Antofagasta;2;
7/3/2020;Rojo;02103;021;02;Positividad;Sierra Gorda;Antofagasta;Región de Antofagasta;Antofagasta;2;
7/3/2020;Rojo;02102;021;02;Positividad;Mejillones;Antofagasta;Región de Antofagasta;Antofagasta;2;
7/3/2020;Rojo;02101;021;02;Positividad;Antofagasta;Antofagasta;Región de Antofagasta;Antofagasta;2;
15/3/2020;Naranjo;02302;023;02;Positividad;María Elena;Tocopilla;Región de Antofagasta;Antofagasta;2;9%
15/3/2020;Naranjo;02301;023;02;Positividad;Tocopilla;Tocopilla;Región de Antofagasta;Antofagasta;2;9%
15/3/2020;Naranjo;02203;022;02;Positividad;San Pedro de Atacama;El Loa;Región de Antofagasta;Antofagasta;2;9%
15/3/2020;Naranjo;02202;022;02;Positividad;Ollagüe;El Loa;Región de Antofagasta;Antofagasta;2;9%
15/3/2020;Naranjo;02201;022;02;Positividad;Calama;El Loa;Región de Antofagasta;Antofagasta;2;9%
15/3/2020;Naranjo;02104;021;02;Positividad;Taltal;Antofagasta;Región de Antofagasta;Antofagasta;2;9%
15/3/2020;Naranjo;02103;021;02;Positividad;Sierra Gorda;Antofagasta;Región de Antofagasta;Antofagasta;2;9%
15/3/2020;Naranjo;02102;021;02;Positividad;Mejillones;Antofagasta;Región de Antofagasta;Antofagasta;2;9%
15/3/2020;Naranjo;02101;021;02;Positividad;Antofagasta;Antofagasta;Región de Antofagasta;Antofagasta;2;9%
16/3/2020;Naranjo;02302;023;02;Positividad;María Elena;Tocopilla;Región de Antofagasta;Antofagasta;2;9%
16/3/2020;Naranjo;02301;023;02;Positividad;Tocopilla;Tocopilla;Región de Antofagasta;Antofagasta;2;9%
16/3/2020;Naranjo;02203;022;02;Positividad;San Pedro de Atacama;El Loa;Región de Antofagasta;Antofagasta;2;9%
16/3/2020;Naranjo;02202;022;02;Positividad;Ollagüe;El Loa;Región de Antofagasta;Antofagasta;2;9%
